Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2019-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Agricultural land (% of land area),AG.LND.AGRI.ZS,,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,,
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,57.7459179609717,57.8378212786815,57.914407376773,58.0109058603682,58.0139693042919,58.0721747388414,58.1732683883222,58.174800110284,58.1993076616733,58.2146248812915,58.2605765401464,58.2758937597647,58.2789572036884,58.2789572036884,58.2789572036884,58.2789572036884,58.282020647612,58.282020647612,58.2804889256502,58.2804889256502,58.2866158134975,58.2881475354594,58.2881475354594,58.2881475354594,58.2881475354594,58.2881475354594,58.2743620378029,58.2667034279937,58.2667034279937,58.2667034279937,58.2513862083755,58.2513862083755,58.1043409000398,57.9190025426585,57.8270992249487,57.8255675029869,57.8837729375364,58.0017155285973,57.8270992249487,57.8270992249487,57.8270992249487,57.8270992249487,58.0675795729559,58.0691112949177,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0691112949177,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,,
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,,45.8570626453838,45.881126173097,45.8971685249058,45.9212320526189,45.9372744044277,45.9613379321409,45.985401459854,46.0094649875672,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0415496911847,46.0447581615465,46.0816555707067,46.1217614502286,46.1217614502286,46.1217614502286,46.1217614502286,46.1217614502286,46.1217614502286,46.1217614502286,46.0415496911847,45.9613379321409,45.9613379321409,46.0335285152803,46.1939520333681,46.1939520333681,46.1939520333681,46.1939520333681,46.274163792412,46.274163792412,46.7554343466752,46.8356461057191,47.3169166599824,47.3169166599824,47.4773401780701,47.4773401780701,47.4773401780701,47.4773401780701,,
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,44.963503649635,44.963503649635,45,44.8905109489051,45.1459854014599,45.2554744525547,45.4014598540146,45.2554744525547,45.0729927007299,44.8905109489051,43.7956204379562,42.8467153284672,41.8248175182482,40.9489051094891,39.4160583941606,39.2335766423358,40.4744525547445,40.6569343065693,40.7664233576642,40.8029197080292,40.7299270072993,40.6569343065693,40.5109489051095,40.6204379562044,40.5839416058394,40.5474452554745,40.5474452554745,40.7664233576642,40.5109489051095,40.9124087591241,41.1313868613139,41.1313868613139,41.0948905109489,41.0948905109489,41.1313868613139,41.2773722627737,41.4233576642336,41.5693430656934,41.7883211678832,41.7518248175182,41.5693430656934,41.6058394160584,40.9124087591241,40.9489051094891,39.3065693430657,40.8759124087591,40.8394160583942,43.1021897810219,43.8430674754792,43.8430674754792,43.8321167883212,43.8430674754792,43.3321185703697,42.8573006957117,42.8576660156252,43.1277354442292,,
Andorra,AND,Agricultural land (% of land area),AG.LND.AGRI.ZS,,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,53.1914893617021,53.1914893617021,51.063829787234,51.063829787234,51.063829787234,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.4042553191489,48.6170220882334,48.6382991709609,48.5319137573243,46.3829771001287,46.3404269928628,44.1914903356675,44.17021325294,44.1914903356675,42.0638307611994,42.0638307611994,39.9148941040038,40.0212754594519,40.0212754594519,40.0212754594519,39.9574482694585,,
Arab World,ARB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,27.8356427346175,27.8265643273511,27.8455221778192,27.847925285625,27.8669721400858,27.8661711041505,27.9185944559142,27.9450286417781,28.0033262570671,28.0704352676441,28.2982854892316,28.3469706732974,28.3318518564448,28.3905056965221,28.3543699467932,28.4292225712317,28.4457773728317,28.4941067129864,28.5074573594379,28.6018019276958,28.2285712533225,28.2525792749456,28.304860408623,28.7989785138785,29.2195630446492,29.6540820844932,30.1431785626854,30.5893571670972,31.0401461990962,31.5346007323851,31.6393766122559,31.7412816632073,32.4586569040403,33.1334863787582,33.7425417857081,34.3855487127142,34.9782682942684,35.7112798000369,36.3295809477876,36.3105963623107,36.3065822731884,36.3695082121908,36.4166496337839,36.4843620162531,36.5405009627573,36.4892213515993,36.4941629165024,36.4129544341629,36.3722608895493,36.4259902142818,36.4408082099817,36.4722999471565,36.5345027371875,36.6074748752316,36.6247594678781,36.6108495095988,,
United Arab Emirates,ARE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,2.92875246409462,2.92875246409462,2.92875246409462,2.92875246409462,2.94283300478738,2.95691354548015,2.95691354548015,2.95691354548015,2.95691354548015,2.98507462686567,2.98507462686567,2.98507462686567,2.99915516755843,3.0132357082512,3.02731624894396,3.04139678963672,3.05547733032948,3.06955787102225,3.08363841171501,3.13996057448606,3.19628273725711,3.19628273725711,3.26668544072092,3.26668544072092,3.30892706279921,3.3511686848775,3.3511686848775,3.36524922557026,3.36524922557026,4.01295409743734,4.36496761475641,4.77330329484652,4.99859194593072,5.23796113770769,5.39284708532808,5.51957195156294,5.63221627710504,5.67445789918333,7.33596170092931,7.77245846240496,7.9836665727964,8.03998873556744,7.87102224725429,7.87102224725429,7.91326386933258,7.65418157682256,7.56969833266598,7.66826211751532,5.53224435224562,5.59419864535298,5.54069276260208,5.37454255430908,5.41255975635714,5.45620951844551,5.46043350877174,5.4745140494645,,
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,50.3633951963869,49.8536553281519,49.2839890524685,48.7073800832392,48.1530608143414,47.8490439180178,47.3941147883027,47.2231052841206,47.2475874139928,47.2395485056766,47.1935074853199,47.1474664649632,47.1014254446064,47.0553844242497,47.009343403893,46.9633023835363,46.9172613631796,46.8712203428229,46.8251793224662,46.7791383021095,46.7330972817528,47.0528265897855,47.0071509743522,46.9607445490721,46.9147035287153,46.8686625083586,46.7495405033087,46.5452791510913,46.5781655942032,46.6128790619325,46.6475925296617,46.682305997391,46.7170194651203,46.7528291476199,46.7882734251961,46.8237177027723,46.8577003606547,46.8924138283839,46.9223770321081,46.9581867146078,46.9932655872605,47.031267699301,47.8254753004542,49.0903244430315,50.3518849412977,51.5600963207378,52.6303673415696,52.7136796641198,52.5423047550143,53.8902835176801,54.1826074564529,54.5381464469852,54.5180491761946,54.3357121193851,54.3357121193851,54.3357121193851,,
Armenia,ARM,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0958904109589,41.4822620302072,42.1496311907271,43.6951176677204,45.8728486125746,46.7860906217071,46.6455918510713,46.4699683877766,46.4699683877766,46.6455918510713,48.8584474885845,50.7200561995083,52.8626624517035,56.3751317175975,61.6930110436972,61.534949926732,61.426064237026,61.3382525053786,60.9413417632596,59.6452397466084,59.1148577449947,59.1148577449947,59.0340692368065,58.8935704661707,58.8970863655824,,
American Samoa,ASM,Agricultural land (% of land area),AG.LND.AGRI.ZS,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16.0000002384186,16.0000002384186,16.0000002384186,17.5,20,20,23.4999990463257,23.9499998092652,24.0000009536743,22.5,22.5,25.1999998092652,25,25,25,24.0000009536743,24.0000009536743,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,,
